Category: All categories,,,
,,,
Region,Milkshake: (2/1/24 - 2/28/25),Hamburger: (2/1/24 - 2/28/25),Breakup: (2/1/24 - 2/28/25)
South Carolina,23%,66%,11%
North Carolina,23%,64%,13%
Alabama,23%,65%,12%
Kentucky,23%,64%,13%
Tennessee,22%,66%,12%
Pennsylvania,24%,62%,14%
Utah,21%,65%,14%
Delaware,24%,63%,13%
Ohio,23%,64%,13%
Indiana,22%,65%,13%
Illinois,23%,62%,15%
West Virginia,23%,64%,13%
Virginia,24%,62%,14%
Oklahoma,19%,69%,12%
Michigan,22%,65%,13%
Georgia,22%,63%,15%
Nevada,20%,67%,13%
Florida,23%,63%,14%
Connecticut,22%,63%,15%
Rhode Island,23%,64%,13%
Mississippi,21%,67%,12%
New Jersey,23%,62%,15%
Maryland,23%,62%,15%
Arkansas,22%,65%,13%
Arizona,20%,67%,13%
Oregon,20%,68%,12%
Missouri,19%,67%,14%
Wisconsin,19%,67%,14%
Kansas,19%,68%,13%
Idaho,19%,67%,14%
Texas,20%,67%,13%
Louisiana,19%,69%,12%
Iowa,20%,67%,13%
North Dakota,18%,70%,12%
California,19%,65%,16%
Nebraska,18%,69%,13%
New York,21%,62%,17%
Washington,18%,67%,15%
New Hampshire,20%,67%,13%
Minnesota,18%,67%,15%
Colorado,18%,68%,14%
New Mexico,19%,67%,14%
Massachusetts,20%,63%,17%
South Dakota,14%,75%,11%
Maine,18%,69%,13%
Wyoming,16%,71%,13%
Vermont,17%,69%,14%
Montana,14%,75%,11%
Hawaii,14%,73%,13%
Alaska,15%,72%,13%
District of Columbia,17%,67%,16%
